Manager ID,Manager Name,Manager Job Title,Total Employees
16,David M Bradley,Marketing Manager,6
263,Jean E Trenary,Information Services Manager,6
264,Stephanie A Conroy,Network Manager,27
274,Stephen Y Jiang,North American Sales Manager,27
285,Syed E Abbas,Pacific Sales Manager,27
287,Amy E Alberts,European Sales Manager,27
3,Roberto  Tamburello,Engineering Manager,27
26,Peter J Krebs,Production Control Manager,27
211,Hazem E Abolrous,Quality Assurance Manager,27
227,Gary E. Altman,Facilities Manager,27
235,Paula M Barreto de Mattos,Human Resources Manager,27
241,David J Liu,Accounts Manager,27
249,Wendy Beth Kahn,Finance Manager,27
250,Sheela H Word,Purchasing Manager,66
217,Zainal T Arifin,Document Control Manager,66
7,Dylan A Miller,Research and Development Manager,66
10,Michael  Raheem,Research and Development Manager,190
