Customer_Name,CustomerID,AccountNumber,TerritoryID,StoreID,PersonID
Catherine R. Abel,29485,AW00029485,4,294,293
Kim  Abercrombie,29486,AW00029486,3,296,295
Humberto  Acevedo,29487,AW00029487,2,298,297
Gustavo  Achong,29484,AW00029484,5,292,291
Pilar  Ackerman,29488,AW00029488,9,300,299
Aaron B Adams,28866,AW00028866,4,NULL,16867
Adam  Adams,13323,AW00013323,4,NULL,16901
Alex C Adams,21139,AW00021139,1,NULL,16724
Alexandra J Adams,29170,AW00029170,4,NULL,10263
Allison L Adams,19419,AW00019419,7,NULL,10312
Amanda P Adams,11971,AW00011971,4,NULL,10274
Amber  Adams,26746,AW00026746,9,NULL,10292
Andrea M Adams,16845,AW00016845,4,NULL,10314
Angel  Adams,18504,AW00018504,4,NULL,16699
Bailey  Adams,13280,AW00013280,1,NULL,10299
Ben  Adams,28678,AW00028678,1,NULL,1770
Blake L Adams,18646,AW00018646,4,NULL,4194
Carla J. Adams,29491,AW00029491,5,306,305
Carlos  Adams,19822,AW00019822,6,NULL,16691
Charles R Adams,26598,AW00026598,1,NULL,4891
Chloe A Adams,19410,AW00019410,1,NULL,10251
Connor  Adams,21423,AW00021423,6,NULL,16872
Courtney C Adams,18075,AW00018075,4,NULL,10293
Dalton  Adams,27849,AW00027849,7,NULL,4503
Devin  Adams,21871,AW00021871,9,NULL,4970
Eduardo A Adams,25292,AW00025292,4,NULL,5055
Edward  Adams,17163,AW00017163,4,NULL,3731
Elijah L Adams,13214,AW00013214,1,NULL,16858
Eric  Adams,24777,AW00024777,4,NULL,16902
Evan  Adams,18814,AW00018814,1,NULL,16730
Fernando S Adams,20374,AW00020374,4,NULL,3889
Frances B. Adams,29489,AW00029489,4,302,301
Gabriel S Adams,19527,AW00019527,6,NULL,16850
Gabriella K Adams,24758,AW00024758,1,NULL,10302
Gabrielle J Adams,11172,AW00011172,1,NULL,10282
Hailey M Adams,12154,AW00012154,6,NULL,10279
Haley M Adams,24786,AW00024786,6,NULL,10283
Hunter  Adams,18987,AW00018987,1,NULL,16656
Ian C Adams,29422,AW00029422,7,NULL,4747
Isaac  Adams,26174,AW00026174,1,NULL,16747
Isabella  Adams,15715,AW00015715,9,NULL,10261
Isaiah L Adams,28360,AW00028360,4,NULL,16722
Jack  Adams,22191,AW00022191,1,NULL,16894
Jackson H Adams,17449,AW00017449,1,NULL,16910
Jada  Adams,24979,AW00024979,1,NULL,10304
James  Adams,12889,AW00012889,1,NULL,16828
Jason  Adams,17488,AW00017488,1,NULL,16859
Jay  Adams,29492,AW00029492,3,308,307
Jenna L Adams,27311,AW00027311,7,NULL,10295
Jennifer  Adams,15362,AW00015362,6,NULL,10257
Jeremy D Adams,29030,AW00029030,4,NULL,4034
Jesse M Adams,17172,AW00017172,4,NULL,16754
Jonathan  Adams,28247,AW00028247,1,NULL,16831
Jordan F Adams,16377,AW00016377,4,NULL,10297
Jordan R Adams,20387,AW00020387,4,NULL,16890
Jose J Adams,15477,AW00015477,4,NULL,16819
Julia N Adams,26073,AW00026073,6,NULL,10253
Kaitlyn A Adams,11869,AW00011869,6,NULL,10258
Katelyn W Adams,16877,AW00016877,1,NULL,10305
Katherine M Adams,23518,AW00023518,6,NULL,10268
Kaylee F Adams,17548,AW00017548,4,NULL,10311
Kevin M Adams,14581,AW00014581,1,NULL,16846
Kyle E Adams,18812,AW00018812,6,NULL,16845
Logan  Adams,14466,AW00014466,1,NULL,16837
Lucas  Adams,18559,AW00018559,1,NULL,4823
Luis R Adams,22517,AW00022517,8,NULL,16862
Luke C Adams,13265,AW00013265,8,NULL,16884
Mackenzie A Adams,14640,AW00014640,6,NULL,10300
Marcus M Adams,11931,AW00011931,4,NULL,4658
Maria N Adams,22734,AW00022734,4,NULL,10281
Mary D Adams,12950,AW00012950,1,NULL,10289
Mason T Adams,20528,AW00020528,6,NULL,16734
Miguel  Adams,11659,AW00011659,6,NULL,4118
Morgan  Adams,12663,AW00012663,7,NULL,10259
Natalie P Adams,11217,AW00011217,1,NULL,10262
Nathan C Adams,17380,AW00017380,4,NULL,16840
Noah B Adams,16977,AW00016977,4,NULL,16662
Rebecca F Adams,17644,AW00017644,10,NULL,10284
Richard R Adams,22104,AW00022104,4,NULL,4577
Robert Q Adams,12901,AW00012901,1,NULL,16792
Samuel  Adams,18905,AW00018905,1,NULL,16638
Sara A Adams,16986,AW00016986,1,NULL,10303
Savannah  Adams,23536,AW00023536,9,NULL,10309
Sean J Adams,16293,AW00016293,10,NULL,16767
Seth L Adams,16854,AW00016854,4,NULL,4350
Stephanie R Adams,14042,AW00014042,1,NULL,10277
Sydney  Adams,27367,AW00027367,9,NULL,10265
Thomas  Adams,29285,AW00029285,4,NULL,16835
Wyatt  Adams,14890,AW00014890,4,NULL,3805
Xavier C Adams,22133,AW00022133,1,NULL,4429
Ronald L. Adina,29493,AW00029493,5,310,309
Osarumwense Uwaifiokun Agbonile,18083,AW00018083,1,NULL,4388
Samuel N. Agcaoili,29494,AW00029494,6,312,311
James T. Aguilar,29495,AW00029495,8,314,313
Robert E. Ahlering,29496,AW00029496,4,316,315
Kim  Akers,29498,AW00029498,2,320,319
Alisha M Alan,28740,AW00028740,7,NULL,12041
Bob A Alan,27366,AW00027366,9,NULL,16003
Cheryl L Alan,17721,AW00017721,7,NULL,6184
Jamie S Alan,21224,AW00021224,9,NULL,14644
Kari A Alan,23601,AW00023601,8,NULL,10543
Kelvin  Alan,19332,AW00019332,8,NULL,3107
Meghan I Alan,28210,AW00028210,9,NULL,18784
Stanley A. Alan,29550,AW00029550,1,442,441
Xavier  Alan,15384,AW00015384,1,NULL,4413
Amy E. Alberts,29499,AW00029499,6,324,323
Brian T Albrecht,13677,AW00013677,8,NULL,15970
Anna A. Albright,29500,AW00029500,5,326,325
Milton J. Albury,29501,AW00029501,2,328,327
Paul L. Alcorn,29502,AW00029502,1,330,329
Gregory F. Alderson,29503,AW00029503,6,332,331
Aaron  Alexander,20285,AW00020285,1,NULL,5508
Abigail  Alexander,24223,AW00024223,1,NULL,3982
Aidan  Alexander,17387,AW00017387,6,NULL,12927
Alexandra M Alexander,24775,AW00024775,4,NULL,2823
Alexandria  Alexander,26333,AW00026333,1,NULL,7634
Alexia  Alexander,25893,AW00025893,1,NULL,7120
Alexis L Alexander,27476,AW00027476,4,NULL,12778
Alyssa M Alexander,17282,AW00017282,9,NULL,20216
Amanda L Alexander,28822,AW00028822,1,NULL,3057
Ana R Alexander,22637,AW00022637,10,NULL,7458
Angela  Alexander,27996,AW00027996,4,NULL,7678
Angelica  Alexander,22714,AW00022714,6,NULL,7161
Anna  Alexander,16647,AW00016647,4,NULL,3683
Antonio  Alexander,20176,AW00020176,8,NULL,13220
Arianna  Alexander,17423,AW00017423,1,NULL,7719
Ashley J Alexander,20007,AW00020007,6,NULL,12597
Austin  Alexander,26673,AW00026673,9,NULL,6266
Benjamin A Alexander,26584,AW00026584,1,NULL,6726
Brandon  Alexander,15273,AW00015273,4,NULL,6919
Brianna  Alexander,14503,AW00014503,1,NULL,19276
Brittany  Alexander,20526,AW00020526,4,NULL,7210
Caleb  Alexander,22774,AW00022774,1,NULL,5561
Cameron  Alexander,26255,AW00026255,1,NULL,6315
Caroline  Alexander,17654,AW00017654,6,NULL,6800
Carson G Alexander,18106,AW00018106,4,NULL,13268
Cassidy  Alexander,21475,AW00021475,4,NULL,6843
Chloe  Alexander,15817,AW00015817,1,NULL,20323
Christian C Alexander,28611,AW00028611,1,NULL,6216
Connor G Alexander,21435,AW00021435,4,NULL,5610
Dakota  Alexander,24651,AW00024651,1,NULL,12972
Dalton  Alexander,23359,AW00023359,4,NULL,13478
David  Alexander,15783,AW00015783,9,NULL,6675
Destiny  Alexander,28286,AW00028286,1,NULL,20099
Devin  Alexander,24402,AW00024402,4,NULL,13718
Dylan  Alexander,20319,AW00020319,1,NULL,6975
Eduardo E Alexander,12172,AW00012172,4,NULL,13757
Edward E Alexander,18524,AW00018524,6,NULL,13658
Elijah  Alexander,11738,AW00011738,6,NULL,5910
Elizabeth  Alexander,13089,AW00013089,9,NULL,12690
Emily L Alexander,21424,AW00021424,4,NULL,13011
Eric S Alexander,28185,AW00028185,4,NULL,5304
Ethan A Alexander,19664,AW00019664,1,NULL,6511
Faith A Alexander,27276,AW00027276,4,NULL,7839
Fernando  Alexander,17128,AW00017128,4,NULL,13129
Gabriel C Alexander,14073,AW00014073,9,NULL,5861
Gabrielle  Alexander,17670,AW00017670,4,NULL,3360
Gail C Alexander,14682,AW00014682,9,NULL,12208
Gavin K Alexander,29322,AW00029322,1,NULL,13308
Grace J Alexander,24074,AW00024074,8,NULL,19672
Hailey C Alexander,19666,AW00019666,9,NULL,3211
Haley  Alexander,11837,AW00011837,4,NULL,3445
Hannah A Alexander,23280,AW00023280,1,NULL,13061
Ian D Alexander,26281,AW00026281,4,NULL,13899
Isabel  Alexander,22823,AW00022823,10,NULL,7492
Isabella  Alexander,27555,AW00027555,4,NULL,2658
Isabelle L Alexander,15992,AW00015992,4,NULL,7529
J. Phillip L. Alexander,29504,AW00029504,5,334,333
Jack J Alexander,25983,AW00025983,1,NULL,5204
Jackson  Alexander,20876,AW00020876,8,NULL,5354
Jacqueline J Alexander,16139,AW00016139,4,NULL,7761
James  Alexander,26110,AW00026110,1,NULL,6375
Jasmine A Alexander,17151,AW00017151,1,NULL,19874
Jason  Alexander,29328,AW00029328,4,NULL,5406
Jennifer A Alexander,11721,AW00011721,4,NULL,20538
Jeremy D Alexander,19239,AW00019239,1,NULL,13530
Jessica K Alexander,11780,AW00011780,1,NULL,3530
Jocelyn  Alexander,11165,AW00011165,4,NULL,7251
Jonathan  Alexander,22720,AW00022720,4,NULL,6421
Jordan  Alexander,21412,AW00021412,6,NULL,5163
Jose J Alexander,26627,AW00026627,4,NULL,5661
Julia J Alexander,15291,AW00015291,6,NULL,20427
Julian  Alexander,13217,AW00013217,6,NULL,13346
Justin M Alexander,12272,AW00012272,10,NULL,6625
Kaitlyn T Alexander,12915,AW00012915,1,NULL,20642
Katherine  Alexander,22224,AW00022224,4,NULL,2984
Kayla  Alexander,12083,AW00012083,1,NULL,12733
Kelly  Alexander,16736,AW00016736,1,NULL,7568
Kevin  Alexander,12411,AW00012411,4,NULL,5815
Kyle  Alexander,27394,AW00027394,1,NULL,5762
Lauren  Alexander,18950,AW00018950,6,NULL,19069
Logan E Alexander,19116,AW00019116,6,NULL,6472
Luis M Alexander,21459,AW00021459,4,NULL,5458
Luke  Alexander,29043,AW00029043,6,NULL,5112
Madison  Alexander,14447,AW00014447,1,NULL,12508
Marcus M Alexander,16102,AW00016102,4,NULL,13851
Maria F Alexander,28401,AW00028401,7,NULL,3288
Mary  Alexander,29873,AW00029873,1,1150,1149
Megan  Alexander,21837,AW00021837,8,NULL,19175
Melanie N Alexander,27377,AW00027377,6,NULL,7592
Melissa  Alexander,24821,AW00024821,1,NULL,7350
Michelle  Alexander,29505,AW00029505,1,336,335
Miguel  Alexander,15372,AW00015372,1,NULL,13575
Miranda  Alexander,27641,AW00027641,4,NULL,7293
Morgan A Alexander,24765,AW00024765,1,NULL,20742
Mya  Alexander,23370,AW00023370,1,NULL,7325
Natalie A Alexander,25760,AW00025760,10,NULL,2753
Nathan A Alexander,18795,AW00018795,6,NULL,5965
Nicole J Alexander,27236,AW00027236,1,NULL,19990
Noah  Alexander,24337,AW00024337,1,NULL,6114
Olivia L Alexander,14667,AW00014667,9,NULL,19371
Oscar M Alexander,13305,AW00013305,1,NULL,12807
Paige W Alexander,18604,AW00018604,6,NULL,7798
Rachel  Alexander,13699,AW00013699,1,NULL,19781
Richard M Alexander,19654,AW00019654,1,NULL,13802
Riley  Alexander,22799,AW00022799,10,NULL,7385
Robert  Alexander,14025,AW00014025,1,NULL,6165
Ryan J Alexander,14078,AW00014078,6,NULL,6570
Samantha N Alexander,17624,AW00017624,4,NULL,12547
Samuel  Alexander,19551,AW00019551,1,NULL,6016
Sarah  Alexander,19411,AW00019411,6,NULL,12644
Seth D Alexander,11938,AW00011938,4,NULL,13987
Spencer  Alexander,21645,AW00021645,1,NULL,13170
Stephanie  Alexander,24950,AW00024950,4,NULL,3139
Sydney  Alexander,16760,AW00016760,4,NULL,2905
Taylor  Alexander,17482,AW00017482,6,NULL,3605
Thomas  Alexander,20760,AW00020760,6,NULL,5712
Trevor G Alexander,24579,AW00024579,8,NULL,12847
Tristan P Alexander,11248,AW00011248,7,NULL,12887
Victoria C Alexander,20421,AW00020421,4,NULL,19472
Xavier A Alexander,13017,AW00013017,4,NULL,13433
Zachary A Alexander,23144,AW00023144,1,NULL,7036
Aaron A Allen,20075,AW00020075,6,NULL,17561
Adam C Allen,29135,AW00029135,6,NULL,17573
Alex  Allen,19663,AW00019663,1,NULL,16841
Alexandra B Allen,17293,AW00017293,9,NULL,10915
Allison A Allen,19757,AW00019757,6,NULL,10960
Amanda  Allen,22353,AW00022353,6,NULL,10921
Amber A Allen,25580,AW00025580,7,NULL,10936
Andrea K Allen,18798,AW00018798,4,NULL,10961
Angel G Allen,15571,AW00015571,6,NULL,16806
Bailey F Allen,27218,AW00027218,4,NULL,10943
Blake  Allen,17382,AW00017382,4,NULL,4183
Caleb M Allen,23383,AW00023383,4,NULL,17563
Carlos M Allen,29270,AW00029270,1,NULL,16804
Charles  Allen,13475,AW00013475,4,NULL,4881
Chloe  Allen,22994,AW00022994,1,NULL,10903
Connor  Allen,18776,AW00018776,4,NULL,17565
Courtney M Allen,22260,AW00022260,1,NULL,10938
Devin  Allen,15806,AW00015806,9,NULL,4955
Eduardo  Allen,12882,AW00012882,4,NULL,5042
Elijah H Allen,28028,AW00028028,1,NULL,17537
Eric O Allen,18894,AW00018894,4,NULL,17574
Evan  Allen,19811,AW00019811,1,NULL,16851
Fernando H Allen,16805,AW00016805,1,NULL,3876
Gabriel  Allen,11622,AW00011622,1,NULL,17510
Gabriella  Allen,23150,AW00023150,4,NULL,10946
Hailey C Allen,26759,AW00026759,9,NULL,10923
Haley T Allen,17640,AW00017640,8,NULL,10926
Hunter L Allen,14247,AW00014247,1,NULL,17430
Ian A Allen,16031,AW00016031,9,NULL,4735
Isaac J Allen,22261,AW00022261,4,NULL,16897
Isabella  Allen,15741,AW00015741,4,NULL,10910
Isaiah A Allen,12529,AW00012529,4,NULL,16825
Jack M Allen,29137,AW00029137,6,NULL,17572
Jackson J Allen,18994,AW00018994,1,NULL,16794
Jada  Allen,26866,AW00026866,10,NULL,10951
James V Allen,28565,AW00028565,8,NULL,17551
Jason  Allen,15529,AW00015529,1,NULL,17556
Jenna T Allen,23484,AW00023484,4,NULL,10939
Jennifer  Allen,27106,AW00027106,4,NULL,10904
Jeremy J Allen,25281,AW00025281,1,NULL,4017
Jesse  Allen,28795,AW00028795,4,NULL,16899
Jonathan  Allen,19731,AW00019731,4,NULL,17558
Jordan  Allen,26574,AW00026574,4,NULL,17569
Jordan L Allen,19835,AW00019835,1,NULL,10941
Jose C Allen,24053,AW00024053,8,NULL,17452
Kaitlyn  Allen,24120,AW00024120,8,NULL,10905
Katelyn I Allen,27669,AW00027669,4,NULL,10955
Katherine  Allen,17457,AW00017457,1,NULL,10918
Kaylee  Allen,26653,AW00026653,9,NULL,10958
Logan  Allen,15812,AW00015812,9,NULL,17382
Lucas  Allen,16802,AW00016802,1,NULL,4812
Luis C Allen,26019,AW00026019,9,NULL,17559
Luke  Allen,11316,AW00011316,6,NULL,17567
Mackenzie  Allen,21333,AW00021333,1,NULL,10944
Madeline  Allen,29240,AW00029240,6,NULL,10928
Marcus D Allen,23729,AW00023729,4,NULL,4642
Marvin N. Allen,29508,AW00029508,4,342,341
Mary  Allen,21203,AW00021203,9,NULL,10932
Mason  Allen,17625,AW00017625,6,NULL,16876
Michael  Allen,29509,AW00029509,2,344,343
Miguel C Allen,11385,AW00011385,10,NULL,4106
Morgan D Allen,16008,AW00016008,1,NULL,10908
Natalie  Allen,16997,AW00016997,4,NULL,10913
Noah  Allen,19721,AW00019721,1,NULL,17438
Phyllis A. Allen,29507,AW00029507,5,340,339
Rebecca E Allen,21787,AW00021787,4,NULL,10927
Richard  Allen,16756,AW00016756,1,NULL,4559
Robert E Allen,19542,AW00019542,1,NULL,17448
Samuel W Allen,13917,AW00013917,4,NULL,17418
Sara H Allen,17461,AW00017461,1,NULL,10950
Savannah  Allen,19409,AW00019409,4,NULL,10956
Sean L Allen,12097,AW00012097,6,NULL,16912
Seth M Allen,12946,AW00012946,1,NULL,4336
Sierra S Allen,19134,AW00019134,4,NULL,10942
Sophia  Allen,20183,AW00020183,1,NULL,10930
Stephanie  Allen,24518,AW00024518,4,NULL,10922
Sydney K Allen,13363,AW00013363,1,NULL,10916
Thomas J Allen,13485,AW00013485,4,NULL,17473
Timothy L Allen,24802,AW00024802,4,NULL,16915
Wyatt C Allen,28804,AW00028804,4,NULL,3789
Cecil J. Allison,29510,AW00029510,6,346,345
Albert M Alonso,17645,AW00017645,10,NULL,14905
Alberto  Alonso,25350,AW00025350,4,NULL,6623
Alfredo T Alonso,23323,AW00023323,9,NULL,2798
Andy  Alonso,17341,AW00017341,1,NULL,2738
Anne  Alonso,23227,AW00023227,7,NULL,14368
Armando M Alonso,13647,AW00013647,9,NULL,6949
Arthur M Alonso,19054,AW00019054,10,NULL,10959
Audrey J Alonso,27609,AW00027609,4,NULL,6015
Beth R Alonso,13504,AW00013504,7,NULL,6080
Billy M Alonso,22852,AW00022852,9,NULL,15744
Brandi  Alonso,17061,AW00017061,9,NULL,18478
Briana  Alonso,21830,AW00021830,10,NULL,13525
Bruce L Alonso,20775,AW00020775,1,NULL,10860
Carolyn  Alonso,27902,AW00027902,8,NULL,10001
Carrie  Alonso,14539,AW00014539,7,NULL,17862
Casey E Alonso,23422,AW00023422,9,NULL,19153
Clinton  Alonso,23759,AW00023759,8,NULL,14620
Craig A Alonso,15495,AW00015495,4,NULL,19062
Daisy  Alonso,28568,AW00028568,8,NULL,5958
Dana J Alonso,23683,AW00023683,4,NULL,18837
Danny S Alonso,18217,AW00018217,9,NULL,14755
Darren  Alonso,27501,AW00027501,9,NULL,10222
Deanna A Alonso,15347,AW00015347,4,NULL,9793
Derrick W Alonso,26017,AW00026017,4,NULL,19108
Desiree J Alonso,22124,AW00022124,3,NULL,13848
Diana L Alonso,24590,AW00024590,9,NULL,18652
Diane M Alonso,20630,AW00020630,9,NULL,15515
Dwayne M Alonso,28512,AW00028512,7,NULL,20464
Eddie L Alonso,16420,AW00016420,10,NULL,6681
Felicia A Alonso,26842,AW00026842,10,NULL,14274
Francis J Alonso,21738,AW00021738,10,NULL,2446
Gary C Alonso,18767,AW00018767,9,NULL,19027
Gerald  Alonso,20958,AW00020958,8,NULL,10767
Gina C Alonso,22587,AW00022587,8,NULL,15052
Gloria S Alonso,19964,AW00019964,9,NULL,16418
Hector L Alonso,12134,AW00012134,10,NULL,14712
Jacquelyn A Alonso,27792,AW00027792,8,NULL,6356
Jaime  Alonso,15062,AW00015062,10,NULL,7055
Janet K Alonso,15616,AW00015616,7,NULL,6239
Jay A Alonso,15675,AW00015675,8,NULL,10326
Jerome H Alonso,27977,AW00027977,9,NULL,7700
Jessie J Alonso,11826,AW00011826,4,NULL,5505
Jésus V Alonso,20841,AW00020841,8,NULL,18381
Jill  Alonso,27884,AW00027884,8,NULL,15093
Jimmy T Alonso,18280,AW00018280,9,NULL,15640
Joanna M Alonso,27862,AW00027862,9,NULL,13977
Joe F Alonso,28766,AW00028766,6,NULL,11051
Jon  Alonso,25952,AW00025952,4,NULL,12471
Jonathon A Alonso,15238,AW00015238,9,NULL,14482
Joy A Alonso,19918,AW00019918,10,NULL,14043
Julio C Alonso,13749,AW00013749,4,NULL,7000
Kathleen  Alonso,21196,AW00021196,9,NULL,18567
Kendra C Alonso,16427,AW00016427,10,NULL,15145
Krista P Alonso,20212,AW00020212,9,NULL,14219
Kristine  Alonso,16686,AW00016686,9,NULL,6302
Kristy A Alonso,20956,AW00020956,7,NULL,14327
Lance I Alonso,14057,AW00014057,9,NULL,14854
Larry B Alonso,13586,AW00013586,10,NULL,18426
Latasha A Alonso,13591,AW00013591,10,NULL,6134
Lawrence S Alonso,12323,AW00012323,7,NULL,14443
Lee  Alonso,20846,AW00020846,7,NULL,14405
Meghan A Alonso,24457,AW00024457,9,NULL,18795
Meredith M Alonso,20621,AW00020621,9,NULL,10640
Micheal W Alonso,19307,AW00019307,10,NULL,14567
Monique  Alonso,24842,AW00024842,7,NULL,13766
Naomi  Alonso,15830,AW00015830,9,NULL,17363
Natasha L Alonso,25009,AW00025009,9,NULL,18748
Neil M Alonso,13332,AW00013332,4,NULL,6849
Nelson  Alonso,22142,AW00022142,4,NULL,19224
Orlando  Alonso,15550,AW00015550,1,NULL,18789
Paula L Alonso,22692,AW00022692,7,NULL,15024
Philip L Alonso,22303,AW00022303,7,NULL,19192
Randall  Alonso,27960,AW00027960,8,NULL,14964
Raquel  Alonso,17313,AW00017313,9,NULL,6438
Rebekah H Alonso,14825,AW00014825,8,NULL,9896
Renee  Alonso,24166,AW00024166,9,NULL,15004
Ricky S Alonso,14070,AW00014070,9,NULL,15590
Roberto M Alonso,14533,AW00014533,10,NULL,14805
Robyn C Alonso,17800,AW00017800,7,NULL,13018
Rodney R Alonso,25540,AW00025540,7,NULL,13679
Roy  Alonso,18094,AW00018094,4,NULL,11158
Ruben A Alonso,16881,AW00016881,4,NULL,11261
Sabrina R Alonso,21051,AW00021051,8,NULL,14171
Shannon  Alonso,24683,AW00024683,4,NULL,20051
Sheila  Alonso,25054,AW00025054,9,NULL,14530
Stacy  Alonso,28315,AW00028315,9,NULL,18612
Tabitha  Alonso,14780,AW00014780,7,NULL,10436
Tanya K Alonso,26942,AW00026942,10,NULL,14021
Teresa  Alonso,13138,AW00013138,9,NULL,15201
Theodore  Alonso,24186,AW00024186,10,NULL,6729
Theresa  Alonso,25155,AW00025155,4,NULL,13896
Tyrone  Alonso,19464,AW00019464,7,NULL,6798
Walter C Alonso,18138,AW00018138,7,NULL,14696
Oscar L. Alpuerto,29511,AW00029511,3,348,347
Sandra J. Altamirano,29512,AW00029512,9,350,349
Selena R. Alvarado,29513,AW00029513,5,352,351
Adrienne L Alvarez,17067,AW00017067,9,NULL,7103
Albert R Alvarez,16624,AW00016624,9,NULL,14897
Alberto  Alvarez,23358,AW00023358,4,NULL,6609
Andy  Alvarez,11329,AW00011329,4,NULL,2731
Anne A Alvarez,11961,AW00011961,4,NULL,14360
Armando M Alvarez,17777,AW00017777,8,NULL,6942
Arthur  Alvarez,24892,AW00024892,9,NULL,10952
Audrey L Alvarez,22450,AW00022450,8,NULL,6003
Beth M Alvarez,29305,AW00029305,9,NULL,6069
Billy A Alvarez,28179,AW00028179,1,NULL,15735
Carolyn C Alvarez,16209,AW00016209,7,NULL,9991
Carrie W Alvarez,23410,AW00023410,9,NULL,17855
Casey A Alvarez,28557,AW00028557,10,NULL,19145
Cheryl A Alvarez,12320,AW00012320,10,NULL,6177
Clinton  Alvarez,15625,AW00015625,8,NULL,14610
Daisy P Alvarez,22819,AW00022819,10,NULL,5875
Dana  Alvarez,15067,AW00015067,7,NULL,18830
Danny  Alvarez,13820,AW00013820,10,NULL,14750
Darren  Alvarez,14838,AW00014838,8,NULL,10213
