Employee First Name,Employee Last Name,Manager First Name,Manager Last Name
Syed,Abbas,Roberto,Tamburello
Syed,Abbas,Peter,Krebs
Syed,Abbas,Hazem,Abolrous
Syed,Abbas,Gary,Altman
Syed,Abbas,Paula,Barreto de Mattos
Syed,Abbas,David,Liu
Syed,Abbas,Wendy,Kahn
Syed,Abbas,Stephanie,Conroy
Syed,Abbas,Stephen,Jiang
Syed,Abbas,Syed,Abbas
Syed,Abbas,Amy,Alberts
Kim,Abercrombie,Michael,Raheem
Hazem,Abolrous,Roberto,Tamburello
Hazem,Abolrous,Peter,Krebs
Hazem,Abolrous,Hazem,Abolrous
Hazem,Abolrous,Stephanie,Conroy
Hazem,Abolrous,Stephen,Jiang
Hazem,Abolrous,Syed,Abbas
Hazem,Abolrous,Amy,Alberts
Hazem,Abolrous,Gary,Altman
Hazem,Abolrous,Paula,Barreto de Mattos
Hazem,Abolrous,David,Liu
Hazem,Abolrous,Wendy,Kahn
Pilar,Ackerman,Dylan,Miller
Pilar,Ackerman,Zainal,Arifin
Pilar,Ackerman,Sheela,Word
Jay,Adams,Michael,Raheem
François,Ajenstat,Roberto,Tamburello
François,Ajenstat,Peter,Krebs
François,Ajenstat,Hazem,Abolrous
François,Ajenstat,Gary,Altman
François,Ajenstat,Paula,Barreto de Mattos
François,Ajenstat,David,Liu
François,Ajenstat,Wendy,Kahn
François,Ajenstat,Stephanie,Conroy
François,Ajenstat,Stephen,Jiang
François,Ajenstat,Syed,Abbas
François,Ajenstat,Amy,Alberts
Amy,Alberts,Roberto,Tamburello
Amy,Alberts,Peter,Krebs
Amy,Alberts,Hazem,Abolrous
Amy,Alberts,Gary,Altman
Amy,Alberts,Paula,Barreto de Mattos
Amy,Alberts,David,Liu
Amy,Alberts,Wendy,Kahn
Amy,Alberts,Stephanie,Conroy
Amy,Alberts,Stephen,Jiang
Amy,Alberts,Syed,Abbas
Amy,Alberts,Amy,Alberts
Greg,Alderson,Michael,Raheem
Sean,Alexander,Michael,Raheem
Gary,Altman,Roberto,Tamburello
Gary,Altman,Peter,Krebs
Gary,Altman,Hazem,Abolrous
Gary,Altman,Gary,Altman
Gary,Altman,Paula,Barreto de Mattos
Gary,Altman,David,Liu
Gary,Altman,Wendy,Kahn
Gary,Altman,Stephanie,Conroy
Gary,Altman,Stephen,Jiang
Gary,Altman,Syed,Abbas
Gary,Altman,Amy,Alberts
Nancy,Anderson,Michael,Raheem
Pamela,Ansman-Wolfe,Dylan,Miller
Pamela,Ansman-Wolfe,Zainal,Arifin
Pamela,Ansman-Wolfe,Sheela,Word
Zainal,Arifin,Dylan,Miller
Zainal,Arifin,Zainal,Arifin
Zainal,Arifin,Sheela,Word
Dan,Bacon,Roberto,Tamburello
Dan,Bacon,Peter,Krebs
Dan,Bacon,Hazem,Abolrous
Dan,Bacon,Gary,Altman
Dan,Bacon,Paula,Barreto de Mattos
Dan,Bacon,David,Liu
Dan,Bacon,Wendy,Kahn
Dan,Bacon,Stephanie,Conroy
Dan,Bacon,Stephen,Jiang
Dan,Bacon,Syed,Abbas
Dan,Bacon,Amy,Alberts
Bryan,Baker,Michael,Raheem
Mary,Baker,Michael,Raheem
Angela,Barbariol,Michael,Raheem
David,Barber,Roberto,Tamburello
David,Barber,Peter,Krebs
David,Barber,Hazem,Abolrous
David,Barber,Gary,Altman
David,Barber,Paula,Barreto de Mattos
David,Barber,David,Liu
David,Barber,Wendy,Kahn
David,Barber,Stephanie,Conroy
David,Barber,Stephen,Jiang
David,Barber,Syed,Abbas
David,Barber,Amy,Alberts
Paula,Barreto de Mattos,Roberto,Tamburello
Paula,Barreto de Mattos,Peter,Krebs
Paula,Barreto de Mattos,Hazem,Abolrous
Paula,Barreto de Mattos,Gary,Altman
Paula,Barreto de Mattos,Paula,Barreto de Mattos
Paula,Barreto de Mattos,David,Liu
Paula,Barreto de Mattos,Wendy,Kahn
Paula,Barreto de Mattos,Stephanie,Conroy
Paula,Barreto de Mattos,Stephen,Jiang
Paula,Barreto de Mattos,Syed,Abbas
Paula,Barreto de Mattos,Amy,Alberts
Wanida,Benshoof,Roberto,Tamburello
Wanida,Benshoof,Peter,Krebs
Wanida,Benshoof,Hazem,Abolrous
Wanida,Benshoof,Gary,Altman
Wanida,Benshoof,Syed,Abbas
Wanida,Benshoof,Amy,Alberts
Wanida,Benshoof,Paula,Barreto de Mattos
Wanida,Benshoof,David,Liu
Wanida,Benshoof,Wendy,Kahn
Wanida,Benshoof,Stephanie,Conroy
Wanida,Benshoof,Stephen,Jiang
Karen,Berg,Roberto,Tamburello
Karen,Berg,Peter,Krebs
Karen,Berg,Hazem,Abolrous
