EmployeeID,FirstName,LastName,TotalSale
274,Stephen,Jiang,559697.5639
275,Michael,Blythe,3763178.1787
276,Linda,Mitchell,4251368.5497
277,Jillian,Carson,3189418.3662
278,Garrett,Vargas,1453719.4653
279,Tsvi,Reiter,2315185.611
280,Pamela,Ansman-Wolfe,1352577.1325
281,Shu,Ito,2458535.6169
282,José,Saraiva,2604540.7172
283,David,Campbell,1573012.9383
284,Tete,Mensa-Annan,1576562.1966
285,Syed,Abbas,172524.4512
286,Lynn,Tsoflias,1421810.9242
287,Amy,Alberts,519905.932
288,Rachel,Valdez,1827066.7118
289,Jae,Pak,4116871.2277
290,Ranjit,Varkey Chudukatil,3121616.3202
