Customer_Name,Company_Name,CustomerID,AccountNumber,TerritoryID,StoreID,PersonID
Susan E. French,General Bike Corporation,29761,AW00029761,6,908,907
Stephen M. Ayers,Work and Play Association,29528,AW00029528,3,382,381
Samuel N. Agcaoili,Vinyl and Plastic Goods Corporation,29494,AW00029494,6,312,311
Dora P. Verdad,Retreat Inn,30115,AW00030115,6,1988,1987
James R. Thomas,Retirement Activities Association,30068,AW00030068,5,1884,1883
Damon A. Taylor,Racing Association,30057,AW00030057,5,1862,1861
Min  Su,Getaway Inn,30043,AW00030043,7,1830,1829
Sandra B. Maynard,Bike Dealers Association,29992,AW00029992,4,1414,1413
Jean  Jordan,Separate Parts Corporation,29889,AW00029889,4,1184,1183
Erin M. Hagens,Distant Inn,29805,AW00029805,4,1002,1001
