Customer_Name,City,CustomerID,AccountNumber,TerritoryID,PersonID
Kari A Alan,Berlin,23601,AW00023601,8,10543
Albert M Alonso,London,17645,AW00017645,10,14905
Armando M Alvarez,Berlin,17777,AW00017777,8,6942
Daisy P Alvarez,London,22819,AW00022819,10,5875
Danny  Alvarez,London,13820,AW00013820,10,14750
Kristi  Alvarez,London,12303,AW00012303,10,9580
Lance J Alvarez,London,16190,AW00016190,10,14847
Marie  Alvarez,London,20947,AW00020947,10,10097
Victor  Alvarez,Berlin,18022,AW00018022,8,19230
Alejandro R Anand,London,28899,AW00028899,10,12568
Cedric P Anand,Berlin,28400,AW00028400,8,4246
Wayne H Anand,London,22686,AW00022686,10,9147
Alicia S Andersen,Berlin,19029,AW00019029,8,19795
April C Andersen,London,20973,AW00020973,10,20548
Christine A Andersen,London,27945,AW00027945,10,19881
Dawn  Andersen,Berlin,16473,AW00016473,8,12227
Kathryn  Andersen,London,21865,AW00021865,10,19920
Katrina  Andersen,London,19032,AW00019032,10,16346
Kristin K Andersen,Berlin,11570,AW00011570,8,20585
Leonard  Andersen,London,17772,AW00017772,10,5214
Nichole  Andersen,London,12653,AW00012653,10,16611
Jarrod R Arthur,Berlin,27314,AW00027314,8,2912
Ronald D Arthur,London,14776,AW00014776,10,20119
Cesar J Arun,London,24859,AW00024859,10,3814
Evelyn  Arun,London,27842,AW00027842,10,3101
Rachael J Arun,London,23976,AW00023976,10,15499
Reginald  Ashe,Berlin,28706,AW00028706,8,7756
Alison  Beck,Berlin,28889,AW00028889,8,16672
Carl M Beck,London,16311,AW00016311,10,16978
Devon  Beck,Berlin,17092,AW00017092,8,4345
Louis J Becker,London,24193,AW00024193,10,13112
Drew  Bhat,London,14820,AW00014820,10,9247
Shawn A Black,London,19499,AW00019499,10,20399
Alfredo T Blanco,London,17626,AW00017626,10,2818
Clinton J Blanco,London,14195,AW00014195,10,14634
Daisy L Blanco,London,20551,AW00020551,10,6151
Gina  Blanco,London,28918,AW00028918,10,15065
Jessie R Blanco,London,23608,AW00023608,10,5671
Mathew B Blanco,London,12595,AW00012595,10,14539
Neil  Blanco,Berlin,19934,AW00019934,8,6864
Paula  Blanco,Berlin,12538,AW00012538,8,15181
Theresa  Blanco,London,26824,AW00026824,10,13912
Clarence L Cai,Berlin,22609,AW00022609,8,6952
Clayton K Cai,Berlin,14537,AW00014537,8,12619
Dennis  Cai,Berlin,28563,AW00028563,8,17928
Lacey L Cai,London,12733,AW00012733,10,12398
Ramón S Cai,London,16599,AW00016599,10,6441
Rosa  Cai,London,22618,AW00022618,10,4988
Stacey  Cai,London,20575,AW00020575,10,17630
Anne H Carlson,London,22305,AW00022305,10,14388
Derrick R Carlson,London,28436,AW00028436,10,19129
Gloria P Carlson,London,15632,AW00015632,10,16616
Kendra  Carlson,London,18044,AW00018044,10,15168
Theodore  Carlson,Berlin,24694,AW00024694,8,6761
Jacquelyn  Castro,London,21093,AW00021093,10,6372
Terry A Champion,Berlin,21661,AW00021661,8,17242
Jenny B Chande,Berlin,17111,AW00017111,8,11511
Nina D Chande,London,19263,AW00019263,10,4451
Priscilla  Chande,London,29358,AW00029358,10,8795
Tamara L Chande,London,28693,AW00028693,10,11915
Christy E Chander,London,21548,AW00021548,10,11416
Lindsey  Chander,London,26949,AW00026949,10,20671
Priscilla  Chander,London,16530,AW00016530,10,8797
Tasha  Chander,Berlin,15073,AW00015073,8,8639
Marie A Chandra,London,25775,AW00025775,10,10035
Rachael V Chandra,Berlin,22597,AW00022597,8,15491
Regina M Chandra,London,15057,AW00015057,10,7638
Sergio A Chandra,London,22837,AW00022837,10,7799
Whitney  Chandra,London,15712,AW00015712,10,18881
Bob W Chapman,London,21134,AW00021134,10,15997
Alvin  Chen,London,26863,AW00026863,10,4316
Brent A Chen,Berlin,22610,AW00022610,8,17987
Tamara  Chen,London,12382,AW00012382,10,13012
Valerie  Chen,London,19911,AW00019911,10,17485
Corey  Deng,London,28921,AW00028921,10,20444
Dale  Deng,London,28399,AW00028399,10,5300
Donna B Deng,Berlin,15926,AW00015926,8,4632
Jerry  Deng,London,22813,AW00022813,10,16882
Julie  Deng,London,25631,AW00025631,10,19938
Kara L Deng,Berlin,21550,AW00021550,8,16540
Nicolas P Deng,Berlin,17738,AW00017738,8,5241
Ricardo  Deng,London,21111,AW00021111,10,16986
Yolanda  Deng,London,28427,AW00028427,10,3612
Alberto A Diaz,Berlin,14174,AW00014174,8,6603
Kathleen C Diaz,London,28375,AW00028375,10,18551
Kristine  Diaz,Berlin,25719,AW00025719,8,6288
Neil C Diaz,London,18181,AW00018181,10,6839
Victor L Diaz,Berlin,12481,AW00012481,8,19228
Carolyn F Dominguez,London,22653,AW00022653,10,10013
Deanna  Dominguez,London,23779,AW00023779,10,9808
Jay A Dominguez,London,21857,AW00021857,10,10338
Jésus  Dominguez,London,17087,AW00017087,10,18389
Julio E Dominguez,London,17094,AW00017094,10,7010
Linda  Dominguez,Berlin,20051,AW00020051,8,13821
Ricky B Dominguez,Berlin,25658,AW00025658,8,15600
Ruben  Dominguez,London,16573,AW00016573,10,11271
Tanya N Dominguez,Berlin,13601,AW00013601,8,14033
Clifford E Fernandez,London,21026,AW00021026,10,4100
Deanna  Fernandez,London,24554,AW00024554,10,9758
Francisco  Fernandez,Berlin,24097,AW00024097,8,16712
Harold C Fernandez,London,29359,AW00029359,10,2887
Meagan C Fernandez,London,19448,AW00019448,10,7221
Stanley R Fernandez,London,24064,AW00024064,10,4051
Stefanie  Fernandez,Berlin,25762,AW00025762,8,7384
Virginia  Fernandez,Berlin,29355,AW00029355,8,7619
Grant  Ferrier,Berlin,20898,AW00020898,8,9311
Alejandro P Gao,Berlin,15065,AW00015065,8,12501
Colleen  Gao,London,15108,AW00015108,10,12281
Ernest  Gao,London,27828,AW00027828,10,6479
Karen L Gao,Berlin,18153,AW00018153,8,17415
Lacey C Gao,London,16531,AW00016531,10,12386
Mandy M Gao,London,12560,AW00012560,10,5766
Margaret  Gao,London,16401,AW00016401,10,17725
Marshall  Gao,London,25782,AW00025782,10,11064
Martha  Gao,London,13582,AW00013582,10,4922
Bob  Garcia,London,19186,AW00019186,10,16020
Carla  Garcia,London,14172,AW00014172,10,7560
Cindy A Garcia,London,22807,AW00022807,10,7328
Ebony S Garcia,Berlin,14163,AW00014163,8,9651
Francisco  Garcia,London,25701,AW00025701,10,16707
Kristopher M Garcia,London,19070,AW00019070,10,16115
Pamela S Garcia,Berlin,11424,AW00011424,8,15561
Tabitha  Garcia,London,27778,AW00027778,10,10394
Alfredo M Gill,London,23629,AW00023629,10,2815
Darren M Gill,London,11408,AW00011408,10,10237
Julio R Gill,London,26993,AW00026993,10,7011
Marvin M Gill,London,17821,AW00017821,10,6915
Paula W Gill,London,28524,AW00028524,10,15136
Philip  Gill,London,22599,AW00022599,10,19206
Raquel T Gill,Berlin,17217,AW00017217,8,6555
Reginald  Gill,Berlin,27161,AW00027161,8,7769
Ross R Gill,Berlin,14996,AW00014996,8,11817
Shannon  Gill,Berlin,24117,AW00024117,8,20153
Arturo J Goel,Berlin,14549,AW00014549,8,10670
Clarence  Goel,Berlin,17189,AW00017189,8,7444
Latoya C Goel,London,11239,AW00011239,10,16405
Sheena  Goel,Berlin,12833,AW00012833,8,8705
Tamara  Goldberg,Berlin,24839,AW00024839,8,11925
Carolyn A Gomez,Berlin,12512,AW00012512,8,9982
Gerald  Gomez,London,17743,AW00017743,10,10754
Kristi  Gomez,London,26911,AW00026911,10,10727
Kristine E Gomez,London,18627,AW00018627,10,6281
Dominic L Gonzalez,London,13693,AW00013693,10,8254
Douglas E Gonzalez,Berlin,20174,AW00020174,8,19441
Geoffrey  Gonzalez,London,11603,AW00011603,10,8306
Jermaine A Gonzalez,Berlin,28500,AW00028500,8,8036
Preston L Gonzalez,London,14156,AW00014156,10,4001
Ruben A Gonzalez,London,22468,AW00022468,10,11226
Stefanie J Gonzalez,London,28709,AW00028709,10,7390
Candice  Guo,Berlin,23228,AW00023228,8,16765
Roger  Guo,London,13539,AW00013539,10,13260
Eddie R Gutierrez,London,28370,AW00028370,10,6689
Jésus E Gutierrez,London,16437,AW00016437,10,18386
Michele K Gutierrez,Berlin,16271,AW00016271,8,9017
Ruben A Gutierrez,Berlin,20835,AW00020835,8,11267
Shannon L Gutierrez,London,17101,AW00017101,10,20103
Walter  Gutierrez,London,25141,AW00025141,10,13595
Alan A He,London,12210,AW00012210,10,17334
